Date-Year,Date-Month,Date-Day,Classfication,Q-E,ZN-E,PH-E,DBO-E,DQO-E,SS-E,SSV-E,SED-E ,COND-E,PH-P,DBO-P,SS-P,SSV-P,SED-P,COND-P,PH-D,DBO-D,DQO-D,SS-D,SSV-D,SED-D,COND-D,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S ,COND-S,RD-DBO-P,RD-SS-P ,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,RD-SED-G
1990,1,8,1,36281,2,7.8,269,612,226,70.8,8,1544,7.9,290,268,65.7,8,1503,7.8,158,259,100,80,0.4,1443,7.5,38,106,34,86.7,0,1239,43,62.7,95.6,75.9,59.1,84.2,82.7,85,99.8
1990,1,9,1,38055,3.5,7.8,221,524,188,72.3,5,1540,7.9,234,252,77.8,4.5,1477,7.8,128,299,82,90.2,0.2,1506,7.5,29,136,39,83.7,0,1503,43.1,67.5,95.6,77.3,54.5,86.9,74,79.3,99.6
1990,1,10,1,34064,1,8.1,230,535,242,66.9,6.5,1652,7.9,269,264,69.7,5.4,1700,7.9,174,322,100,72,0.3,1577,7.5,28,101,36,83.3,0.1,1552,32.1,62.1,94.4,83.9,68.6,87.8,81.1,85.1,99.2
1990,1,11,1,31447,3.5,7.9,190,374,192,70.8,6.5,1494,7.8,204,184,71.1,4.5,1462,7.7,121,259,100,82,0.5,1562,7.5,21,108,22,84.1,0.1,1596,40.7,45.7,88.9,82.6,58.3,88.9,71.1,88.5,99.2
1990,1,12,1,32127,17,7.7,225,526,292,63.7,7.5,2240,7.6,244,344,62.8,9,2220,7.7,193,450,134,70.1,1.3,2450,7.5,28,92,36,80.6,0,2580,20.9,61,85.6,85.5,79.6,88.4,82.5,87.7,99.9
1990,1,14,1,31059,3.5,7.8,202,431,200,74,5,1302,7.7,199,184,78.3,4.7,1307,7.6,124,269,96,75,0.4,1334,7.4,17,63,20,85,0.1,1473,37.7,47.8,91.5,86.3,76.6,91.6,85.4,90,99
1990,1,15,1,36470,4.5,7.8,227,526,212,68.9,4.5,1542,7.8,232,240,75,5.5,1583,7.8,172,411,106,83,0.2,1607,7.4,30,99,41,85.4,0.1,1395,25.9,55.8,96.4,82.6,75.9,86.8,81.2,80.7,98.9
1990,1,16,1,47449,1.7,7.8,170,401,158,67.1,4,1292,7.8,184,172,69.8,3.5,1413,7.8,167,345,102,74.5,0.7,1568,7.5,26,87,27,77.8,0.1,1635,9.2,40.7,80,84.4,74.8,84.7,78.3,82.9,98.8
1990,1,17,1,43940,3.5,7.8,149,361,186,62.4,3.2,1651,7.8,204,204,66.7,5,1751,7.9,155,345,106,69.8,0.5,1623,7.5,27,103,38,81.6,0.1,1597,24,48,90,82.6,70.1,81.9,71.5,79.6,98.4
1990,1,18,1,40347,1.8,7.7,155,338,132,69.7,2.7,1332,7.7,180,160,68.8,2.5,1366,7.7,152,319,94,72.3,0.6,1442,7.4,22,87,27,77.8,0.1,1482,15.6,41.3,76,85.5,72.7,85.8,74,79.5,98.1
1990,1,19,1,40267,1.8,7.9,180,433,186,72,4,1729,7.9,200,174,75.9,3.7,1820,7.8,127,354,86,79.1,0.4,1856,7.5,19,110,26,82.5,0,1861,36.5,50.6,89.2,85,68.9,89.4,74.6,86,99.8
1990,1,21,1,37976,1,7.7,148,345,162,77.8,3.2,1432,7.6,145,166,73.5,3.8,1415,7.6,137,302,94,85.1,0.5,1461,7.4,17,60,21,90.5,0.1,1572,5.5,43.4,86.8,87.6,80.1,88.5,82.6,87,98.4
1990,1,22,1,47368,2,7.9,156,417,152,73.7,4.5,1608,7.9,207,164,67.1,4.5,1798,7.8,147,321,76,76.3,0.4,1627,7.4,29,99,26,84.6,0,1490,29,53.7,91.1,80.3,69.2,81.4,76.3,82.9,99.6
1990,1,23,1,48086,5,8,247,444,166,73.5,3.5,1700,8.1,207,182,65.9,3.5,1724,7.9,176,360,112,76.8,0.4,1768,7.6,27,52,29,86.2,0,1764,15,38.5,88.6,84.7,85.6,89.1,88.3,82.5,100
1990,1,24,1,47642,5,7.9,157,428,204,53.9,4,1989,7.7,187,250,52.8,4.5,1869,7.8,219,303,90,68.9,0.4,1735,7.5,19,73,18,75,0,1800,-6.2,64,92.2,91.3,75.9,87.9,82.9,91.2,100
